source_brand_raw,source_line_raw,source_paint_name_raw,source_code_raw,target_brand_raw,target_line_raw,target_paint_name_raw,target_code_raw,notes_raw
The Army Painter,Warpaints Fanatic,Spaceship Exterior,,The Army Painter,Warpaints Air,Corax White,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Spaceship Exterior,,Warhammer Colour,,Corax White,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Matt White,,The Army Painter,Original Warpaints,Matt White,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Matt White,,The Army Painter,Warpaints Air,White Scar,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Matt White,,Warhammer Colour,,White Scar,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Gorgon Hide,,The Army Painter,Original Warpaints,Storm Wolf,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Gorgon Hide,,The Army Painter,Warpaints Air,Blue Horror,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Gorgon Hide,,Warhammer Colour,,Blue Horror,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Toxic Mist,,The Army Painter,Original Warpaints,Toxic Mist,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Kraken Skin,,The Army Painter,Original Warpaints,Feral Green,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Kraken Skin,,The Army Painter,Warpaints Air,Gauss Blaster Green,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Kraken Skin,,Warhammer Colour,,Gauss Blaster Green,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Company Grey,,The Army Painter,Warpaints Air,Company Grey,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Company Grey,,Warhammer Colour,,Grey Seer,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Brainmatter Beige,,The Army Painter,Original Warpaints,Brainmatter Beige,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Brainmatter Beige,,Warhammer Colour,,Pallid Wych Flesh,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Runic Cobalt,,The Army Painter,Original Warpaints,Fog Grey,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Runic Cobalt,,Warhammer Colour,,Fenrisian Grey,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Baron Blue,,The Army Painter,Warpaints Air,Consul Blue,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Baron Blue,,Warhammer Colour,,Consul Blue,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Arctic Gem,,The Army Painter,Original Warpaints,Electric Blue,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Arctic Gem,,The Army Painter,Warpaints Air,Ionic Blue,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Arctic Gem,,Warhammer Colour,,Hoeth Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Shieldwall Blue,,Warhammer Colour,,Lothern Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Ash Grey,,The Army Painter,Original Warpaints,Ash Grey,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Ash Grey,,Warhammer Colour,,Administratum Grey,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Worn Stone,,The Army Painter,Original Warpaints,Drake Tooth,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Worn Stone,,Warhammer Colour,,Wraithbone,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Wolf Grey,,The Army Painter,Original Warpaints,Wolf Grey,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Wolf Grey,,Warhammer Colour,,Russ Grey,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Alpha Blue,,Warhammer Colour,,Calgar Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Crystal Blue,,The Army Painter,Original Warpaints,Crystal Blue,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Crystal Blue,,The Army Painter,Warpaints Air,Crystal Blue,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Crystal Blue,,Warhammer Colour,,Teclis Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Phalanx Blue,,The Army Painter,Original Warpaints,Troglodyte Blue,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Aquamarine,,The Army Painter,Warpaints Air,Phantasmal Blue,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
