source_brand_raw,source_line_raw,source_paint_name_raw,source_code_raw,target_brand_raw,target_line_raw,target_paint_name_raw,target_code_raw,notes_raw
Vallejo,Xpress Color,Templar White,72.401,Warhammer Color,Contrast,Apothecary White,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Dwarf Skin,72.402,Warhammer Color,Contrast,Guilliman Flesh,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Imperial Yellow,72.403,Warhammer Color,Contrast,Imperial Fist,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Nuclear Yellow,72.404,Warhammer Color,Contrast,Iyanden Yellow,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Martian Orange,72.405,Warhammer Color,Contrast,Gryph-Hound Orange,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Plasma Red,72.406,Warhammer Color,Contrast,Blood Angels Red,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Velvet Red,72.407,Warhammer Color,Contrast,Flesh Tearers Red,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Cardinal Purple,72.408,Warhammer Color,Contrast,Doomfire Magenta,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Deep Purple,72.409,Warhammer Color,Contrast,Sigvald Burgundy,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Gloomy Violet,72.410,Warhammer Color,Contrast,Luxion Purple,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Mystic Blue,72.411,Warhammer Color,Contrast,Talassar Blue,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Storm Blue,72.412,Warhammer Color,Contrast,Ultramarines Blue,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Omega Blue,72.413,Warhammer Color,Contrast,Celestium Blue,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Caribbean Turq.,72.414,Warhammer Color,Contrast,Akhelian Green,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Orc Skin,72.415,Warhammer Color,Contrast,Mantis Warrior Green,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Troll Green,72.416,Warhammer Color,Contrast,Warp Lightning,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Snake Green,72.417,Warhammer Color,Contrast,Aeldari Emerald,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Lizard Green,72.418,Warhammer Color,Contrast,Dark Angels Green,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Plague Green,72.419,Warhammer Color,Contrast,Militarum Green,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Wasteland Brown,72.420,Warhammer Color,Contrast,Snakebite Leather,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Copper Brown,72.421,Warhammer Color,Contrast,Gore-Grunta Fur,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Space Grey,72.422,Warhammer Color,Contrast,Nighthound Gloom,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Black Lotus,72.423,Warhammer Color,Contrast,Black Templar,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Xpress Medium,72.448,Warhammer Color,Contrast,Contrast Medium,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Mummy White,72.449,Warhammer Color,Contrast,Baneblade Brown,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Bag of Bones,72.450,Warhammer Color,Contrast,Skeleton Horde,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Rotten Flesh,72.452,Warhammer Color,Contrast,Plaguebearer Flesh,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Wicked Purple,72.456,Warhammer Color,Contrast,Dreadful Visage,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Twilight Rose,72.460,Warhammer Color,Contrast,Magos Purple,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Vampiric Purple,72.461,Warhammer Color,Contrast,Leviathan Purple,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Starship Steel,72.462,Warhammer Color,Contrast,Gryph-Charger Grey,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Forest Green,72.465,Warhammer Color,Contrast,Ork Flesh,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Tanned Skin,72.471,Warhammer Color,Contrast,Fyreslayer Flesh,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Willow Bark,72.474,Warhammer Color,Contrast,Wyldwood,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Muddy Ground,72.475,Warhammer Color,Contrast,Cygor Brown,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Greasy Black,72.476,Warhammer Color,Contrast,Ratling Grime,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
Vallejo,Xpress Color,Phoenix Orange,72.478,Warhammer Color,Contrast,Magmadroth Flame,,Citadel Contrast name as printed in Vallejo CC266 Xpress Color chart
